No;Nama Barang;Satuan;Harga;Stok
1;Semen;Sak;;30
2;Semen Biasa;Kilo;;30
3;Kaca Meja;Lembar;;30
4;Cat Matex;Kaleng;;30
5;Air Isi Ulang;Galon;;30
6;Air Mineral Kemasan;Dus;;30
7;Bahan Pangan Lainnya;Pcs;;30
8;Daun Teh Celup;Pcs;;30
9;Papper Cup;Pcs;;30
10;Pena Pilot Ball Liner;Dus;;30
11;Alat Tulis;Pcs;;30
12;Spidol Snowman;Buah;;30
13;Pena Queen;Dus;;30
14;Spidol Permanen;Buah;;30
15;Pena Ball;Pcs;;30
16;Pena Metal;Pcs;;30
17;Pena V-5;Dus;;30
18;Pena Faster satuan;buah;;30
19;pena k I;pcs;;30
20;pena K I dus;dus;;30
21;stabillo;buah;;30
22;Tinta Stempel;Pcs;;30
23;Tinta Spidol;Pcs;;30
24;Penjepit Kertas;Buah;;30
25;Binder Clip 300;Dos;;30
26;Binder Clip 200;Dos;;30
27;Binder Clip 155;Dos;;30
28;Binder Clip 260;Dos;;30
29;Binder Clips 280;Dus;;30
30;clip warna;pak;;30
31;binder clip 107;dus;;30
32;Penghapus Pena;Buah;;30
33;Penghapus Pensil;Buah;;30
34;Buku Tulis;Buah;;30
35;Buku Register;Buah;;30
36;Buku Nota Kecil;Pak;;30
37;Kwitansi Sedang;buah;;30
38;Kwitansi Kecil;buah;;30
39;buku ekspedisi;pcs;;30
40;BR Folio;buah;;30
41;Ordner;Buah;;30
42;Map;Pcs;;30
43;penggaris BJ;buah;;30
44;Cutter (ATK Kantor);Pcs;;30
45;Cutter Besar;Buah;;30
46;Cutter Kecil;Buah;;30
47;isi cutter besar;dus;;30
48;isi cutter kecil;dus;;30
49;gunting;buah;;30
50;gunting besar;buah;;30
51;gunting kecil;buah;;30
52;Lem Kertas;Buah;;30
53;Lakban Besar;Buah;;30
54;Doubletip Besar;Buah;;30
55;Doubletip Kecil;Buah;;30
56;Lem Castol;Buah;;30
57;Lem Daun Seng;Buah;;30
58;lakban coklat;buah;;30
59;lakban hitam;buah;;30
60;Staples (K);Buah;;30
61;Staples (S);Buah;;30
62;hekter jilid;buah;;30
63;pelubang kertas;buah;;30
64;hakter kecil;buah;;30
65;hakter besar;buah;;30
66;Isi Staples Kecil;Dus;;30
67;Isi Staples Sedang;Dus;;30
68;ATK Lainnya;Buah;;30
69;Boxfile;Buah;;30
70;Benang Tukang;Buah;;30
71;Gunting Sedang;Buah;;30
72;Staples Sedang;Buah;;30
73;Staples Kecil;Buah;;30
74;Binder Clips 260;Dus;;30
75;Binder Clips 200;Dus;;30
76;Binder Clips 155;Dus;;30
77;Binder Clips 111;Dus;;30
78;Clips;Dus;;30
79;Stereofoam;Buah;;30
80;Mouse Wireless;Buah;;30
81;Pena Baliner;Buah;;30
82;Name Plate;Buah;;30
83;Stand Book;Pcs;;30
84;Doubletip 24 mm;Buah;;30
85;Doubletip 48 mm;Buah;;30
86;Pena Faster;Dua;;30
87;Amplop Kecil;Dus;;30
88;Stabilo;Buah;;30
89;Kertas F4 Warna;Rim;;30
90;Box;Buah;;30
91;File Ordner;Buah;;30
92;Flash Disk 4GB;Buah;;30
93;TipeX;Buah;;30
94;Kertas HVS Putih;Rim;;30
95;Kertas HVS Warna;Rim;;30
96;HVS Putih;Dus;;30
97;HVS Warna;Dus;;30
98;sticnote;pak;;30
99;Berbagai Kertas;Pcs;;30
100;Kertas Bufalo;Pcs;;30
101;Kertas Sticnote;Pcs;;30
102;Kertas Folio;Buah;;30
103;Kertas Plano;Lembar;;30
104;Kertas Kaf;lembar;;30
105;Kertas Wraping;rol;;30
106;Kertas Cover;Pcs;;30
107;Bufalo;Pcs;;30
108;Amplop A;Pcs;;30
109;Amplop Coklat Besar;Pcs;;30
110;Amplop Coklat Kecil;Pcs;;30
111;Tints Epson 003;Botol;;30
112;Tinta Printer Epson 003;Pcs;;30
113;Tinta Printer Cannon;Pcs;;30
114;Flashdisk 8GB;Buah;;30
115;Flashdisk 4GB;Buah;;30
116;flashdisk 128 GB;buah;;30
117;flashdisk 32 GB;buah;;30
118;flashdisk 16 GB;buah;;30
119;Mouse Logitech;Buah;;30
120;Mouse Pad;BPcs;;30
121;Sapu Ijuk;Buah;;30
122;Sikat;Buah;;30
123;Sapu Lidi;Pcs;;30
124;Alat Pel;Buah;;30
125;Spon Lap Mobil;Pcs;;30
126;Kain Lap Mobil;Buah;;30
127;Spons Biasa;Buah;;30
128;Tisu;Pcs;;30
129;Tempat Sabun;Pcs;;30
130;Keset Kaki;Buah;;30
131;Trash Bag;Pcs;;30
132;tas kresek;pak;;30
133;keranjang sampah;buah;;30
134;Bahan Kimia Untuk Pembersih;Pcs;;30
135;Porstex;Botol;;30
136;Kanebo;Buah;;30
137;Stella Matic;Buah;;30
138;Kanper Swallow;Pcs;;30
139;Sabun Cuci Piring;Pcs;;30
140;Tissu;Pcs;;30
141;Lilin;Buah;;30
142;Kaporit;Kilo;;30
143;Sabun Ekonomi;pcs;;30
144;Sendok;Lusin;;30
145;cangkir;dus;;30
146;by fresh;buah;;30
147;stela alat;buah;;30
148;refil stela;botol;;30
149;Kuas Roll;Buah;;30
150;Klem Kabel;Dus;;30
151;Kabel Snur;Meter;;30
152;Terminal Cok;Buah;;30
153;Fisher;Pcs;;30
154;Semprotan;Buah;;30
155;Gunting Rumput;Pcs;;30
156;Name_Plate;Buah;;30
157;Bunga Pot;pcs;;30
158;Tempat tissue kecil;buah;;30
159;Mangkok permen;pcs;;30
160;Topless;Pcs;;30
161;Kotak;Pcs;;30
162;Gorden;lembar;;30
163;Dispenser;unit;;30
164;LPG;tabung;;30
165;box kontainer;buah;;30
166;Kabel Listrik;Meter;;30
167;kabel roll;buah;;30
168;Lampu 10 W;Pcs;;30
169;Lampu LED 11 Watt;pcs;;30
170;Lampu LED 8 Watt;pcs;;30
171;Stop Kontak;pcs;;30
172;Steker Besar;Buah;;30
173;Steker Kecil;Buah;;30
174;Baterai AA;Pcs;;30
175;Baterai AAA;Pcs;;30
176;Baterai_AA;pak;;30
177;Perlengkapan Dinas Lainnya;Pcs;;30
178;ID Card;Buah;;30
179;Tempat ID Card;Buah;;30
180;Meterai;Lembar;;30
181;Perlengkapan Penunjang Kegiatan Kantor Lainnya;Pcs;;30
182;Breket TV;Buah;;30
183;Vas Bunga;Buah;;30
184;Batu Vas Bunga;Pcs;;30
185;Bunga Plastik;Pcs;;30
186;Kain Satin Hijau;Meter;;30
187;Portex Sedang;Buah;;30
188;Kanper;Pcs;;30
189;Tipe X Sedang;Buah;;30
190;Penggaris Sedang;Buah;;30
191;Spanduk;Buah;;30
192;Keranjang;Buah;;30
193;Tas Kain;Buah;;30
194;Toples;Buah;;30
195;Plastik ID Card;Buah;;30
196;Box Container;Buah;;30
197;Gorden Jendela;Buah;;30
198;payung;buah;;30
199;box file;buah;;30
200;webcam;unit;;30
201;Cat;Kaleng;;30
202;Thiner;Kaleng;;30
203;Kuas Cat;Pcs;;30
204;Keran Set;Pcs;;30
205;Kantong Sampah;Pcs;;30
206;Tissu Kecil;Pcs;;30
207;Tisu Besar;Pcs;;30
208;Kantong Sampah Kecil;Pcs;;30
209;White Board Sedang;Buah;;30
210;BBM;Liter;;30
211;PERTAMAX;LITER;;30
212;Kit Ban;Botol;;30
213;Name Plates;Buah;;30
214;Pembatas Buku;Pasang;;30
215;Kaca Riben 5 mil;lembar;;30
216;motor;unit;;30
217;BRANKAS;UNIT;;30
218;televisi;unit;;30
219;infocus;unit;;30
